snapped_at,price,market_cap,total_volume
2019-05-04 00:00:00 UTC,0.0390817566669181,0.0,942476.6244597727
2019-05-05 00:00:00 UTC,0.03101001351922906,0.0,734752.7783102953
2019-05-06 00:00:00 UTC,0.029629248578721734,0.0,426004.29808282614
2019-05-07 00:00:00 UTC,0.030763630390422642,0.0,483586.70736694674
2019-05-08 00:00:00 UTC,0.031758389240128436,0.0,472353.30788154586
2019-05-09 00:00:00 UTC,0.030097891040508442,0.0,378131.1267441944
2019-05-10 00:00:00 UTC,0.027456410493099836,5313441.214504963,351009.6012300636
2019-05-11 00:00:00 UTC,0.025026002846186016,4816210.973692097,369684.8984078084
2019-05-12 00:00:00 UTC,0.027217300938253152,5335109.234691755,427218.0916175007
2019-05-13 00:00:00 UTC,0.022740650013591338,4397505.083781789,313728.4110051093
2019-05-14 00:00:00 UTC,0.02805767308485637,5435149.662315901,935000.5238919028
2019-05-15 00:00:00 UTC,0.02927681475905464,5780480.028536148,1031796.3029948903
2019-05-16 00:00:00 UTC,0.030611869720697873,6082733.989999252,1177074.321067729
2019-05-17 00:00:00 UTC,0.028756718614688148,5514247.664399711,1036466.9119559741
2019-05-18 00:00:00 UTC,0.028229844611585904,5467882.873365854,1311869.8994609462
2019-05-19 00:00:00 UTC,0.02721371139309612,5329287.21997741,1225563.1515325853
2019-05-20 00:00:00 UTC,0.028412412634635644,5512061.908620173,1284619.2735831968
2019-05-21 00:00:00 UTC,0.02653964425689375,5127175.995957487,1145704.522377908
2019-05-22 00:00:00 UTC,0.02883317330397374,5863973.915564493,1076728.3297232678
2019-05-23 00:00:00 UTC,0.026009427248051307,5258958.442609091,821144.3850649225
2019-05-24 00:00:00 UTC,0.02636511293342674,5345889.068449252,6262264.982563856
2019-05-25 00:00:00 UTC,0.03601446633891526,7289661.355573409,10508057.84526074
2019-05-26 00:00:00 UTC,0.034877862349967974,7045615.842981246,955099.4850902975
2019-05-27 00:00:00 UTC,0.04655637214915884,9423489.22510829,1059761.0029556535
2019-05-28 00:00:00 UTC,0.04054807276658268,8855016.602052594,12103479.945956094
2019-05-29 00:00:00 UTC,0.037284415739384555,8285281.976379076,11454322.739839867
2019-05-30 00:00:00 UTC,0.03671904048045222,8177163.177425765,11682234.047046404
